"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 23 17:27:01 GMT 2023","Sat Sep 23 17:27:14 GMT 2023","13187","Mobile Chrome","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 17:27:01 GMT 2023","Sat Sep 23 17:27:29 GMT 2023","28232","webkit","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 17:29:20 GMT 2023","Sat Sep 23 17:29:55 GMT 2023","34237","webkit","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 17:27:01 GMT 2023","Sat Sep 23 17:27:14 GMT 2023","13188","chromium","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Sat Sep 23 17:29:13 GMT 2023","Sat Sep 23 17:29:46 GMT 2023","32622","firefox","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Sat Sep 23 17:29:32 GMT 2023","Sat Sep 23 17:30:04 GMT 2023","31819","Mobile Safari","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 17:29:36 GMT 2023","Sat Sep 23 17:30:10 GMT 2023","33531","chromium","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Sat Sep 23 17:29:37 GMT 2023","Sat Sep 23 17:30:10 GMT 2023","33124","Mobile Safari","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 17:27:01 GMT 2023","Sat Sep 23 17:27:16 GMT 2023","15267","chromium","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 17:27:01 GMT 2023","Sat Sep 23 17:27:30 GMT 2023","29078","firefox","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 17:29:36 GMT 2023","Sat Sep 23 17:30:09 GMT 2023","33090","Mobile Chrome","toDo.spec.ts","","","","Delete a ToDo task",""
"failed","Sat Sep 23 17:28:35 GMT 2023","Sat Sep 23 17:28:44 GMT 2023","9834","Mobile Safari","toDo.spec.ts","","","","Add a new ToDo task",""
"failed","Sat Sep 23 17:28:38 GMT 2023","Sat Sep 23 17:28:50 GMT 2023","11783","webkit","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 17:27:01 GMT 2023","Sat Sep 23 17:27:28 GMT 2023","27108","firefox","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 17:27:01 GMT 2023","Sat Sep 23 17:27:17 GMT 2023","16411","Mobile Chrome","user.spec.ts","","","","Register a new user in ToDo web application",""
