"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 23 16:45:22 GMT 2023","Sat Sep 23 16:45:39 GMT 2023","17009","chromium","toDo.spec.ts","","","","Add a new ToDo task",""
"failed","Sat Sep 23 16:47:05 GMT 2023","Sat Sep 23 16:47:18 GMT 2023","12673","Mobile Safari","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 16:45:22 GMT 2023","Sat Sep 23 16:45:42 GMT 2023","20714","Mobile Chrome","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 16:47:49 GMT 2023","Sat Sep 23 16:48:23 GMT 2023","34410","webkit","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 16:45:22 GMT 2023","Sat Sep 23 16:45:38 GMT 2023","16055","Mobile Chrome","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Sat Sep 23 16:47:59 GMT 2023","Sat Sep 23 16:48:31 GMT 2023","32002","Mobile Safari","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 16:45:22 GMT 2023","Sat Sep 23 16:45:40 GMT 2023","18435","chromium","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 16:45:22 GMT 2023","Sat Sep 23 16:45:56 GMT 2023","34229","firefox","user.spec.ts","","","","Register a new user in ToDo web application",""
"failed","Sat Sep 23 16:47:05 GMT 2023","Sat Sep 23 16:47:18 GMT 2023","13410","webkit","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 16:45:22 GMT 2023","Sat Sep 23 16:45:50 GMT 2023","27855","firefox","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Sat Sep 23 16:48:02 GMT 2023","Sat Sep 23 16:48:35 GMT 2023","33109","Mobile Safari","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Sat Sep 23 16:47:59 GMT 2023","Sat Sep 23 16:48:33 GMT 2023","34040","chromium","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Sat Sep 23 16:47:59 GMT 2023","Sat Sep 23 16:48:33 GMT 2023","33931","Mobile Chrome","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 16:45:22 GMT 2023","Sat Sep 23 16:45:53 GMT 2023","31298","webkit","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 16:47:33 GMT 2023","Sat Sep 23 16:48:06 GMT 2023","32552","firefox","toDo.spec.ts","","","","Delete a ToDo task",""
