"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 23 10:30:11 GMT 2023","Sat Sep 23 10:30:28 GMT 2023","17579","chromium","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 10:30:50 GMT 2023","Sat Sep 23 10:31:03 GMT 2023","12525","Mobile Safari","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 10:30:11 GMT 2023","Sat Sep 23 10:30:31 GMT 2023","20043","Mobile Chrome","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 10:30:11 GMT 2023","Sat Sep 23 10:30:51 GMT 2023","39935","webkit","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 10:32:51 GMT 2023","Sat Sep 23 10:33:28 GMT 2023","37181","Mobile Chrome","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 10:30:11 GMT 2023","Sat Sep 23 10:30:46 GMT 2023","35299","webkit","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 10:31:06 GMT 2023","Sat Sep 23 10:31:37 GMT 2023","31453","firefox","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 10:30:11 GMT 2023","Sat Sep 23 10:30:31 GMT 2023","19931","chromium","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 10:32:56 GMT 2023","Sat Sep 23 10:33:28 GMT 2023","32299","Mobile Safari","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 10:32:53 GMT 2023","Sat Sep 23 10:33:29 GMT 2023","35846","chromium","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 10:30:11 GMT 2023","Sat Sep 23 10:30:30 GMT 2023","19223","Mobile Chrome","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Sat Sep 23 10:32:50 GMT 2023","Sat Sep 23 10:33:26 GMT 2023","36529","webkit","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Sat Sep 23 10:32:30 GMT 2023","Sat Sep 23 10:33:04 GMT 2023","33540","firefox","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 10:31:08 GMT 2023","Sat Sep 23 10:31:40 GMT 2023","31959","firefox","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 10:33:02 GMT 2023","Sat Sep 23 10:33:35 GMT 2023","32957","Mobile Safari","toDo.spec.ts","","","","Delete a ToDo task",""
