"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 23 09:55:47 GMT 2023","Sat Sep 23 09:56:15 GMT 2023","28487","Mobile Chrome","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 09:59:00 GMT 2023","Sat Sep 23 09:59:37 GMT 2023","36167","Mobile Chrome","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 09:55:46 GMT 2023","Sat Sep 23 09:56:14 GMT 2023","27091","Mobile Chrome","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 09:57:45 GMT 2023","Sat Sep 23 09:58:05 GMT 2023","20234","webkit","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 09:56:33 GMT 2023","Sat Sep 23 09:56:52 GMT 2023","18714","Mobile Safari","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Sat Sep 23 09:59:05 GMT 2023","Sat Sep 23 09:59:40 GMT 2023","35101","chromium","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Sat Sep 23 09:59:07 GMT 2023","Sat Sep 23 09:59:39 GMT 2023","31852","Mobile Safari","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 09:55:46 GMT 2023","Sat Sep 23 09:56:15 GMT 2023","28473","chromium","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 09:55:46 GMT 2023","Sat Sep 23 09:56:12 GMT 2023","26350","chromium","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 09:58:03 GMT 2023","Sat Sep 23 09:58:27 GMT 2023","24700","firefox","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Sat Sep 23 09:58:50 GMT 2023","Sat Sep 23 09:59:24 GMT 2023","34459","firefox","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Sat Sep 23 09:58:41 GMT 2023","Sat Sep 23 09:59:17 GMT 2023","36314","webkit","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 09:58:05 GMT 2023","Sat Sep 23 09:58:30 GMT 2023","25189","firefox","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 09:59:11 GMT 2023","Sat Sep 23 09:59:43 GMT 2023","32641","Mobile Safari","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 09:57:51 GMT 2023","Sat Sep 23 09:58:16 GMT 2023","24681","webkit","user.spec.ts","","","","Register a new user in ToDo web application",""
