"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 13 10:29:29 GMT 2023","Wed Sep 13 10:29:42 GMT 2023","13518","Mobile Chrome","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Wed Sep 13 10:29:29 GMT 2023","Wed Sep 13 10:29:59 GMT 2023","30175","firefox","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Wed Sep 13 10:32:18 GMT 2023","Wed Sep 13 10:32:51 GMT 2023","33180","Mobile Safari","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Wed Sep 13 10:29:29 GMT 2023","Wed Sep 13 10:30:01 GMT 2023","32696","firefox","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Wed Sep 13 10:29:29 GMT 2023","Wed Sep 13 10:29:43 GMT 2023","14333","chromium","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Wed Sep 13 10:31:49 GMT 2023","Wed Sep 13 10:32:23 GMT 2023","33979","firefox","toDo.spec.ts","","","","Delete a ToDo task",""
"failed","Wed Sep 13 10:31:17 GMT 2023","Wed Sep 13 10:31:28 GMT 2023","11272","Mobile Safari","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Wed Sep 13 10:29:29 GMT 2023","Wed Sep 13 10:30:02 GMT 2023","33489","webkit","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Wed Sep 13 10:29:29 GMT 2023","Wed Sep 13 10:29:43 GMT 2023","14316","Mobile Chrome","user.spec.ts","","","","Register a new user in ToDo web application",""
"failed","Wed Sep 13 10:31:17 GMT 2023","Wed Sep 13 10:31:30 GMT 2023","12825","webkit","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Wed Sep 13 10:32:16 GMT 2023","Wed Sep 13 10:32:49 GMT 2023","33490","chromium","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Wed Sep 13 10:32:13 GMT 2023","Wed Sep 13 10:32:48 GMT 2023","35210","webkit","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Wed Sep 13 10:29:29 GMT 2023","Wed Sep 13 10:29:44 GMT 2023","15049","chromium","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Wed Sep 13 10:32:11 GMT 2023","Wed Sep 13 10:32:47 GMT 2023","35800","Mobile Chrome","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Wed Sep 13 10:32:14 GMT 2023","Wed Sep 13 10:32:47 GMT 2023","32517","Mobile Safari","user.spec.ts","","","","Register a new user in ToDo web application",""
