"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 09 14:26:32 GMT 2023","Mon Oct 09 14:27:11 GMT 2023","38285","webkit","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Mon Oct 09 14:26:32 GMT 2023","Mon Oct 09 14:26:47 GMT 2023","14978","chromium","toDo.spec.ts","","","","Add a new ToDo task",""
"failed","Mon Oct 09 14:28:52 GMT 2023","Mon Oct 09 14:29:02 GMT 2023","9862","Mobile Safari","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Mon Oct 09 14:29:36 GMT 2023","Mon Oct 09 14:30:11 GMT 2023","34200","chromium","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Mon Oct 09 14:26:33 GMT 2023","Mon Oct 09 14:26:49 GMT 2023","16015","Mobile Chrome","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Mon Oct 09 14:26:32 GMT 2023","Mon Oct 09 14:26:47 GMT 2023","14747","Mobile Chrome","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Mon Oct 09 14:26:32 GMT 2023","Mon Oct 09 14:27:07 GMT 2023","34290","firefox","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Mon Oct 09 14:29:29 GMT 2023","Mon Oct 09 14:30:04 GMT 2023","35856","Mobile Chrome","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Mon Oct 09 14:29:37 GMT 2023","Mon Oct 09 14:30:09 GMT 2023","31941","Mobile Safari","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Mon Oct 09 14:29:26 GMT 2023","Mon Oct 09 14:30:01 GMT 2023","35689","webkit","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Mon Oct 09 14:29:41 GMT 2023","Mon Oct 09 14:30:13 GMT 2023","32760","Mobile Safari","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Mon Oct 09 14:26:32 GMT 2023","Mon Oct 09 14:26:48 GMT 2023","15848","chromium","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Mon Oct 09 14:28:23 GMT 2023","Mon Oct 09 14:28:50 GMT 2023","26276","firefox","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Mon Oct 09 14:29:11 GMT 2023","Mon Oct 09 14:29:44 GMT 2023","33098","firefox","toDo.spec.ts","","","","Delete a ToDo task",""
"failed","Mon Oct 09 14:28:38 GMT 2023","Mon Oct 09 14:28:57 GMT 2023","18836","webkit","toDo.spec.ts","","","","Add a new ToDo task",""
