"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 23 10:21:48 GMT 2023","Sat Sep 23 10:22:10 GMT 2023","22300","chromium","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Sat Sep 23 10:24:47 GMT 2023","Sat Sep 23 10:25:24 GMT 2023","37089","webkit","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Sat Sep 23 10:25:05 GMT 2023","Sat Sep 23 10:25:39 GMT 2023","33350","Mobile Safari","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 10:23:56 GMT 2023","Sat Sep 23 10:24:21 GMT 2023","25079","firefox","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 10:21:49 GMT 2023","Sat Sep 23 10:22:17 GMT 2023","27924","Mobile Chrome","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 10:23:55 GMT 2023","Sat Sep 23 10:24:21 GMT 2023","25473","firefox","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 10:23:40 GMT 2023","Sat Sep 23 10:24:02 GMT 2023","22074","webkit","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 10:21:48 GMT 2023","Sat Sep 23 10:22:28 GMT 2023","39547","webkit","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Sat Sep 23 10:25:02 GMT 2023","Sat Sep 23 10:25:34 GMT 2023","31783","Mobile Safari","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 10:24:52 GMT 2023","Sat Sep 23 10:25:28 GMT 2023","36308","Mobile Chrome","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Sat Sep 23 10:25:01 GMT 2023","Sat Sep 23 10:25:36 GMT 2023","34630","chromium","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 10:21:48 GMT 2023","Sat Sep 23 10:22:17 GMT 2023","28690","chromium","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 10:21:49 GMT 2023","Sat Sep 23 10:22:11 GMT 2023","22650","Mobile Chrome","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Sat Sep 23 10:24:40 GMT 2023","Sat Sep 23 10:25:13 GMT 2023","33410","firefox","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 10:22:33 GMT 2023","Sat Sep 23 10:22:48 GMT 2023","15386","Mobile Safari","toDo.spec.ts","","","","Add a new ToDo task",""
