"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 09 12:56:01 GMT 2023","Mon Oct 09 12:56:20 GMT 2023","18575","chromium","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Mon Oct 09 12:58:28 GMT 2023","Mon Oct 09 12:58:59 GMT 2023","30638","firefox","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Mon Oct 09 12:56:01 GMT 2023","Mon Oct 09 12:56:21 GMT 2023","19200","chromium","user.spec.ts","","","","Register a new user in ToDo web application",""
"failed","Mon Oct 09 12:58:54 GMT 2023","Mon Oct 09 12:59:11 GMT 2023","16988","webkit","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Mon Oct 09 12:58:24 GMT 2023","Mon Oct 09 12:58:56 GMT 2023","31893","firefox","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Mon Oct 09 12:59:37 GMT 2023","Mon Oct 09 13:00:09 GMT 2023","31848","Mobile Safari","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Mon Oct 09 12:58:11 GMT 2023","Mon Oct 09 12:58:39 GMT 2023","27742","webkit","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Mon Oct 09 12:56:02 GMT 2023","Mon Oct 09 12:56:19 GMT 2023","16818","Mobile Chrome","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Mon Oct 09 12:59:35 GMT 2023","Mon Oct 09 13:00:11 GMT 2023","36111","chromium","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Mon Oct 09 12:59:48 GMT 2023","Mon Oct 09 13:00:22 GMT 2023","33480","Mobile Safari","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Mon Oct 09 12:59:17 GMT 2023","Mon Oct 09 12:59:56 GMT 2023","38227","webkit","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Mon Oct 09 12:59:19 GMT 2023","Mon Oct 09 12:59:53 GMT 2023","33901","firefox","toDo.spec.ts","","","","Delete a ToDo task",""
"failed","Mon Oct 09 12:58:58 GMT 2023","Mon Oct 09 12:59:10 GMT 2023","11777","Mobile Safari","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Mon Oct 09 12:59:32 GMT 2023","Mon Oct 09 13:00:09 GMT 2023","37046","Mobile Chrome","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Mon Oct 09 12:56:02 GMT 2023","Mon Oct 09 12:56:21 GMT 2023","19268","Mobile Chrome","user.spec.ts","","","","Register a new user in ToDo web application",""
