"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 23 10:11:45 GMT 2023","Sat Sep 23 10:12:16 GMT 2023","31283","webkit","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 10:11:44 GMT 2023","Sat Sep 23 10:12:01 GMT 2023","16527","Mobile Chrome","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Sat Sep 23 10:11:44 GMT 2023","Sat Sep 23 10:12:15 GMT 2023","30398","webkit","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Sat Sep 23 10:13:57 GMT 2023","Sat Sep 23 10:14:32 GMT 2023","35066","Mobile Chrome","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Sat Sep 23 10:14:01 GMT 2023","Sat Sep 23 10:14:36 GMT 2023","34597","webkit","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 10:11:44 GMT 2023","Sat Sep 23 10:12:03 GMT 2023","18148","Mobile Chrome","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Sat Sep 23 10:14:11 GMT 2023","Sat Sep 23 10:14:43 GMT 2023","32737","Mobile Safari","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 10:11:44 GMT 2023","Sat Sep 23 10:12:03 GMT 2023","19043","chromium","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 10:11:44 GMT 2023","Sat Sep 23 10:12:14 GMT 2023","29809","firefox","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 10:11:44 GMT 2023","Sat Sep 23 10:12:00 GMT 2023","15632","chromium","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Sat Sep 23 10:13:42 GMT 2023","Sat Sep 23 10:14:14 GMT 2023","32669","firefox","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Sat Sep 23 10:11:45 GMT 2023","Sat Sep 23 10:12:09 GMT 2023","24645","firefox","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Sat Sep 23 10:14:04 GMT 2023","Sat Sep 23 10:14:38 GMT 2023","34271","chromium","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Sat Sep 23 10:14:05 GMT 2023","Sat Sep 23 10:14:37 GMT 2023","31980","Mobile Safari","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Sat Sep 23 10:12:15 GMT 2023","Sat Sep 23 10:12:24 GMT 2023","8772","Mobile Safari","toDo.spec.ts","","","","Add a new ToDo task",""
