"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 20 10:09:55 GMT 2023","Mon Nov 20 10:10:06 GMT 2023","10739","Mobile Chrome","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Mon Nov 20 10:09:56 GMT 2023","Mon Nov 20 10:10:05 GMT 2023","9458","chromium","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Mon Nov 20 10:09:55 GMT 2023","Mon Nov 20 10:10:05 GMT 2023","10429","Mobile Chrome","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Mon Nov 20 10:12:00 GMT 2023","Mon Nov 20 10:12:33 GMT 2023","32326","chromium","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Mon Nov 20 10:12:00 GMT 2023","Mon Nov 20 10:12:31 GMT 2023","30990","Mobile Safari","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Mon Nov 20 10:11:46 GMT 2023","Mon Nov 20 10:12:18 GMT 2023","31558","firefox","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Mon Nov 20 10:09:55 GMT 2023","Mon Nov 20 10:10:10 GMT 2023","14220","firefox","toDo.spec.ts","","","","Add a new ToDo task",""
"failed","Mon Nov 20 10:10:47 GMT 2023","Mon Nov 20 10:10:55 GMT 2023","8276","webkit","toDo.spec.ts","","","","Add a new ToDo task",""
"failed","Mon Nov 20 10:10:53 GMT 2023","Mon Nov 20 10:11:00 GMT 2023","6574","Mobile Safari","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Mon Nov 20 10:12:07 GMT 2023","Mon Nov 20 10:12:39 GMT 2023","32052","Mobile Safari","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Mon Nov 20 10:09:56 GMT 2023","Mon Nov 20 10:10:17 GMT 2023","21181","webkit","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Mon Nov 20 10:09:56 GMT 2023","Mon Nov 20 10:10:11 GMT 2023","14797","firefox","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Mon Nov 20 10:09:55 GMT 2023","Mon Nov 20 10:10:05 GMT 2023","9767","chromium","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Mon Nov 20 10:11:58 GMT 2023","Mon Nov 20 10:12:32 GMT 2023","33476","webkit","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Mon Nov 20 10:11:59 GMT 2023","Mon Nov 20 10:12:32 GMT 2023","33339","Mobile Chrome","toDo.spec.ts","","","","Delete a ToDo task",""
